Name,Party,Status 20221114,Year,Twitter,Href,Position,State
Katie Britt,Republican,Date Elected,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/KatieBrittforAL', 'Personal Twitter': 'https://www.twitter.com/KatieBoydBritt'})",https://ballotpedia.org/Katie_Britt,U.S. Senate,Alabama
Will Boyd,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/willboydforAL', 'Personal Twitter': 'https://www.twitter.com/drwillboyd'})",https://ballotpedia.org/Will_Boyd_(Alabama),U.S. Senate,Alabama
John Sophocleus,Libertarian,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/John_Sophocleus,U.S. Senate,Alabama
Mo Brooks,Republican,Last elected,2020.0,"defaultdict(<class 'str'>, {'Official Twitter': 'https://www.twitter.com/RepMoBrooks', 'Campaign Twitter': 'https://www.twitter.com/MoBrooks'})",https://ballotpedia.org/Mo_Brooks,U.S. Senate,Alabama
Brandaun Dean,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/brandaundean'})",https://ballotpedia.org/Brandaun_Dean,U.S. Senate,Alabama
Lanny Jackson,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Lanny_Jackson,U.S. Senate,Alabama
Michael Durant,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Michael_Durant,U.S. Senate,Alabama
Jake Schafer,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/TheBlueSquire'})",https://ballotpedia.org/Jake_Schafer_(Alabama),U.S. Senate,Alabama
Karla DuPriest,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Karla_DuPriest,U.S. Senate,Alabama
Lillie Boddie,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Lillie_Boddie,U.S. Senate,Alabama
Tommy Tuberville,Republican,Last elected,2020.0,"defaultdict(<class 'str'>, {'Official Twitter': 'https://www.twitter.com/SenTuberville', 'Campaign Twitter': 'https://www.twitter.com/TTuberville'})",https://ballotpedia.org/Tommy_Tuberville,U.S. Senate,Alabama
Doug Jones,Democratic,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/dougjonesHQ', 'Personal Twitter': 'https://www.twitter.com/DougJones'})",https://ballotpedia.org/Doug_Jones_(Alabama),U.S. Senate,Alabama
Jeff Sessions,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/jeffsessions'})",https://ballotpedia.org/Jeff_Sessions,U.S. Senate,Alabama
Bradley Byrne,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {'Official Twitter': 'https://www.twitter.com/RepByrne', 'Campaign Twitter': 'https://www.twitter.com/BradleyByrne'})",https://ballotpedia.org/Bradley_Byrne,U.S. Senate,Alabama
Roy Moore,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/realJudgeMoore'})",https://ballotpedia.org/Roy_Moore,U.S. Senate,Alabama
Ruth Page Nelson,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Ruth_Page_Nelson,U.S. Senate,Alabama
Arnold Mooney,Republican,Last elected,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/ArnoldforAL'})",https://ballotpedia.org/Arnold_Mooney,U.S. Senate,Alabama
Stanley Adair,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/stanley_adair'})",https://ballotpedia.org/Stanley_Adair,U.S. Senate,Alabama
Kay Ivey,Republican,Last elected,2022.0,"defaultdict(<class 'str'>, {'Official Twitter': 'https://www.twitter.com/GovernorKayIvey', 'Campaign Twitter': 'https://www.twitter.com/kayiveyforgov'})",https://ballotpedia.org/Kay_Ivey,Governor,Alabama
Yolanda Flowers,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/Yolandaforgov'})",https://ballotpedia.org/Yolanda_Flowers,Governor,Alabama
James Blake,Libertarian,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/James_Blake_(Alabama),Governor,Alabama
Jared Budlong,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/JaredForALGov', 'Personal Twitter': 'https://www.twitter.com/Budlow'})",https://ballotpedia.org/Jared_Budlong,Governor,Alabama
Malika Sanders-Fortier,Democratic,Last elected,2018.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Malika_Sanders-Fortier,Governor,Alabama
Patricia Jamieson,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Patricia_Jamieson,Governor,Alabama
Arthur Kennedy,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Arthur_Kennedy,Governor,Alabama
Doug Smith,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Personal Twitter': 'https://www.twitter.com/sdoug_smith'})",https://ballotpedia.org/Doug_Smith_(Alabama),Governor,Alabama
Chad Chig Martin,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/Chig4Gov', 'Personal Twitter': 'https://www.twitter.com/chadchig'})",https://ballotpedia.org/Chad_Chig_Martin,Governor,Alabama
Lynda Blanchard,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/Blanchard4Gov'})",https://ballotpedia.org/Lynda_Blanchard,Governor,Alabama
Tim James,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/TimJamesGov'})",https://ballotpedia.org/Tim_James_(Alabama),Governor,Alabama
Lew Burdette,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/VoteLEWin22'})",https://ballotpedia.org/Lew_Burdette,Governor,Alabama
Dean Odle,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/PastorDean67'})",https://ballotpedia.org/Dean_Odle,Governor,Alabama
Donald Jones,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Donald_Jones_(Alabama),Governor,Alabama
Dave Thomas,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Dave_Thomas_(Alabama),Governor,Alabama
Stacy George,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/georgestacylee'})",https://ballotpedia.org/Stacy_George,Governor,Alabama
Dean Young,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Dean_Young,Governor,Alabama
Walt Maddox,Democratic,Last election,2018.0,"defaultdict(<class 'str'>, {'Personal Twitter': 'https://www.twitter.com/waltmaddox'})",https://ballotpedia.org/Walt_Maddox,Governor,Alabama
Sue Bell Cobb,Democratic,Last election,2018.0,"defaultdict(<class 'str'>, {'Personal Twitter': 'https://www.twitter.com/suebellcobb'})",https://ballotpedia.org/Sue_Bell_Cobb,Governor,Alabama
James C. Fields,Democratic,Last election,2018.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/James_C._Fields,Governor,Alabama
Anthony White,Democratic,Last election,2018.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Anthony_White_(Alabama),Governor,Alabama
Christopher Countryman,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/CA_Countryman'})",https://ballotpedia.org/Chris_Countryman,Governor,Alabama
Tommy Battle,Republican,Last election,2018.0,"defaultdict(<class 'str'>, {'Personal Twitter': 'https://www.twitter.com/TommyBattle'})",https://ballotpedia.org/Tommy_Battle,Governor,Alabama
Scott Dawson,Republican,Last election,2018.0,"defaultdict(<class 'str'>, {'Personal Twitter': 'https://www.twitter.com/scottdawson'})",https://ballotpedia.org/Scott_Dawson_(Alabama),Governor,Alabama
Bill Hightower,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/BillHightowerAL'})",https://ballotpedia.org/Bill_Hightower,Governor,Alabama
Michael McAllister,Republican,Last election,2018.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Michael_McAllister,Governor,Alabama
Donald Trump,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Donald_Trump,State Senate,Alabama
Mike Pence,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {'Personal Twitter': 'https://www.twitter.com/Mike_Pence'})",https://ballotpedia.org/Mike_Pence,State Senate,Alabama
Joe Biden,Democratic,Last elected,2020.0,"defaultdict(<class 'str'>, {'Official Twitter': 'https://www.twitter.com/POTUS', 'Campaign Twitter': 'https://www.twitter.com/TeamJoe', 'Personal Twitter': 'https://www.twitter.com/JoeBiden'})",https://ballotpedia.org/Joe_Biden,State Senate,Alabama
Kamala D. Harris,Democratic,Last elected,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/KamalaHarris'})",https://ballotpedia.org/Kamala_Harris,State Senate,Alabama
Jo Jorgensen,Libertarian,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/Jorgensen4POTUS'})",https://ballotpedia.org/Jo_Jorgensen,State Senate,Alabama
Spike Cohen,Libertarian,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/RealSpikeCohen'})",https://ballotpedia.org/Spike_Cohen,State Senate,Alabama
Greg Cook,Republican,Date Elected,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/gregorycook'})",https://ballotpedia.org/Greg_Cook_(Alabama),State Supreme Court,Alabama
Anita L. Kelly,unknown,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Anita_L._Kelly,State Supreme Court,Alabama
Debra H. Jones,unknown,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/judgedebrajones'})",https://ballotpedia.org/Debra_H._Jones,State Supreme Court,Alabama
Kelli Wise,Republican,Last elected,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Kelli_Wise,State Supreme Court,Alabama
Rand Paul,Republican,Last elected,2022.0,"defaultdict(<class 'str'>, {'Official Twitter': 'https://www.twitter.com/SenRandPaul', 'Campaign Twitter': 'https://www.twitter.com/RandPaul', 'Personal Twitter': 'https://www.twitter.com/DrRandPaul'})",https://ballotpedia.org/Rand_Paul,U.S. Senate,Kentucky
Charles Booker,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/Booker4KY'})",https://ballotpedia.org/Charles_Booker,U.S. Senate,Kentucky
Charles Lee Thomason,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/Thomasonian'})",https://ballotpedia.org/Charles_Lee_Thomason,U.S. Senate,Kentucky
Billy Ray Wilson,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Billy_Ray_Wilson,U.S. Senate,Kentucky
Joshua Blanton Sr.,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/JoshuaBlantonSr'})",https://ballotpedia.org/Joshua_Blanton_Sr.,U.S. Senate,Kentucky
John Merrill,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/John_W_Merrill'})",https://ballotpedia.org/John_Merrill_(Kentucky),U.S. Senate,Kentucky
Ruth Gao,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/ruthgao4ky'})",https://ballotpedia.org/Ruth_Gao,U.S. Senate,Kentucky
Val Fredrick,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Val_Fredrick,U.S. Senate,Kentucky
Paul Hamilton,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/Hamilton4S'})",https://ballotpedia.org/Paul_Hamilton,U.S. Senate,Kentucky
Arnold Blankenship,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Arnold_Blankenship,U.S. Senate,Kentucky
Tami Stainfield,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Tami_Stainfield,U.S. Senate,Kentucky
John Schiess,Republican,Next election,2024.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/John_Schiess,U.S. Senate,Kentucky
Mitch McConnell,Republican,Last elected,2020.0,"defaultdict(<class 'str'>, {'Official Twitter': 'https://www.twitter.com/McConnellPress', 'Campaign Twitter': 'https://www.twitter.com/Team_Mitch'})",https://ballotpedia.org/Mitch_McConnell,U.S. Senate,Kentucky
Amy McGrath,Democratic,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/AmyMcGrathKY'})",https://ballotpedia.org/Amy_McGrath,U.S. Senate,Kentucky
Brad Barron,Libertarian,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/barron_ky'})",https://ballotpedia.org/Brad_Barron,U.S. Senate,Kentucky
Paul John Frangedakis,unknown,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Paul_John_Frangedakis,U.S. Senate,Kentucky
Daniel Cobble,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Daniel_Cobble,U.S. Senate,Kentucky
Randall Lee Teegarden,unknown,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Randall_Lee_Teegarden,U.S. Senate,Kentucky
Mike Broihier,Democratic,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/mikeforky'})",https://ballotpedia.org/Mike_Broihier,U.S. Senate,Kentucky
Mary Ann Tobin,Democratic,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/TobinUsSenate'})",https://ballotpedia.org/Mary_Ann_Tobin,U.S. Senate,Kentucky
Maggie Jo Hilliard,Democratic,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/electmojo', 'Personal Twitter': 'https://www.twitter.com/themaggiejo'})",https://ballotpedia.org/Maggie_Jo_Hilliard,U.S. Senate,Kentucky
Andrew Maynard,Democratic,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Andrew_Maynard_(Kentucky),U.S. Senate,Kentucky
Bennie Smith,Democratic,Last election,2020.0,"defaultdict(<class 'str'>, {'Personal Twitter': 'https://www.twitter.com/BennieJSmith1'})",https://ballotpedia.org/Bennie_Smith,U.S. Senate,Kentucky
Jimmy Ausbrooks,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/jimmy4ky'})",https://ballotpedia.org/Jimmy_Ausbrooks,U.S. Senate,Kentucky
Eric Rothmuller,Democratic,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/EricRothmuller'})",https://ballotpedia.org/Eric_Rothmuller,U.S. Senate,Kentucky
John Sharpensteen,Democratic,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/John_Sharpensteen,U.S. Senate,Kentucky
C. Wesley Morgan,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/cwesleymorgan'})",https://ballotpedia.org/C._Wesley_Morgan,U.S. Senate,Kentucky
Louis Grider,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/louis_grider'})",https://ballotpedia.org/Louis_Grider,U.S. Senate,Kentucky
Naren James,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Naren_James,U.S. Senate,Kentucky
Kenneth Lowndes,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Kenneth_Lowndes,U.S. Senate,Kentucky
Nicholas Alsager,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Nicholas_Alsager,U.S. Senate,Kentucky
Kanye West,Independent,Last election,2020.0,"defaultdict(<class 'str'>, {'Personal Twitter': 'https://www.twitter.com/kanyewest'})",https://ballotpedia.org/Kanye_West,State Senate,Kentucky
Michelle Tidball,Independent,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Michelle_Tidball,State Senate,Kentucky
Brock Pierce,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Brock_Pierce,State Senate,Kentucky
Karla Ballard,Independent,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/KarlaMBallard'})",https://ballotpedia.org/Karla_Ballard,State Senate,Kentucky
Howie Hawkins,unknown,Next election,2024.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Howie_Hawkins,State Senate,Kentucky
Angela Nicole Walker,Green,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/angelanwalker'})",https://ballotpedia.org/Angela_Nicole_Walker,State Senate,Kentucky
Brian T. Carroll,unknown,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/BrianCarrollASP'})",https://ballotpedia.org/Brian_T._Carroll,State Senate,Kentucky
Amar Patel,unknown,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/carrollvpotus'})",https://ballotpedia.org/Amar_Patel,State Senate,Kentucky
Gloria La Riva,unknown,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/LaRiva2020', 'Personal Twitter': 'https://www.twitter.com/GloriaLaRiva'})",https://ballotpedia.org/Gloria_La_Riva,State Senate,Kentucky
Sunil Freeman,unknown,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Sunil_Freeman,State Senate,Kentucky
Mark Charles,Independent,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/wirelesshogan'})",https://ballotpedia.org/Mark_Charles,State Senate,Kentucky
Adrian Wallace,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Adrian_Wallace,State Senate,Kentucky
Jade Simmons,Independent,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/jadesimmons'})",https://ballotpedia.org/Jade_Simmons,State Senate,Kentucky
Claudeliah Roze,Independent,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Claudeliah_Roze,State Senate,Kentucky
Tom Hoefling,Independent,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/TomHoefling'})",https://ballotpedia.org/Tom_Hoefling,State Senate,Kentucky
Andy Prior,Nonpartisan,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Andy_Prior,State Senate,Kentucky
Shawn W. Howard,Independent,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Shawn_W._Howard,State Senate,Kentucky
President Boddie,Independent,Next election,2024.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/President_Boddie,State Senate,Kentucky
Eric Stoneham,unknown,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Eric_Stoneham,State Senate,Kentucky
Timothy Stevens,unknown,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Timothy_Stevens,State Senate,Kentucky
Susan Congleton Fletcher,unknown,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Susan_Congleton_Fletcher,State Senate,Kentucky
Kasey Wells,Independent,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Kasey_Wells,State Senate,Kentucky
Rachel Wells,Independent,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Rachel_Wells,State Senate,Kentucky
Christopher Nickell,Nonpartisan,Last elected,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Christopher_Nickell,State Supreme Court,Kentucky
Kelly Thompson,Nonpartisan,Date Elected,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Kelly_Thompson_(Kentucky),State Supreme Court,Kentucky
Shawn Alcott,Nonpartisan,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Shawn_Alcott,State Supreme Court,Kentucky
Angela McCormick Bisig,Nonpartisan,Date Elected,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Angela_McCormick_Bisig,State Supreme Court,Kentucky
Jason Bowman,Nonpartisan,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/bowman4justice'})",https://ballotpedia.org/Jason_Bowman,State Supreme Court,Kentucky
Michelle M. Keller,Nonpartisan,Last elected,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Michelle_Keller,State Supreme Court,Kentucky
Joseph Fischer,Republican,Last elected,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Joseph_Fischer_(Kentucky),State Supreme Court,Kentucky
J.D. Vance,Republican,Date Elected,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/JDVance1'})",https://ballotpedia.org/J.D._Vance,U.S. Senate,Ohio
Tim Ryan,Democratic,Last elected,2020.0,"defaultdict(<class 'str'>, {'Official Twitter': 'https://www.twitter.com/RepTimRyan', 'Campaign Twitter': 'https://www.twitter.com/TimRyan'})",https://ballotpedia.org/Tim_Ryan_(Ohio),U.S. Senate,Ohio
Stephen Faris,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/Stephen_Faris'})",https://ballotpedia.org/Stephen_Faris,U.S. Senate,Ohio
Matthew Esh,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Matthew_Esh,U.S. Senate,Ohio
John Cheng,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/John_Cheng,U.S. Senate,Ohio
LaShondra Tinsley,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/LaShondraTinsl1'})",https://ballotpedia.org/LaShondra_Tinsley,U.S. Senate,Ohio
Shane Hoffman,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/ShaneHoffmanUSA'})",https://ballotpedia.org/Shane_Hoffman,U.S. Senate,Ohio
Morgan Harper,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/mh4oh'})",https://ballotpedia.org/Morgan_Harper,U.S. Senate,Ohio
Traci Johnson,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/Traci_TJJohnson'})",https://ballotpedia.org/Traci_Johnson,U.S. Senate,Ohio
Josh Mandel,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/JoshMandelOhio'})",https://ballotpedia.org/Josh_Mandel,U.S. Senate,Ohio
Matt Dolan,Republican,Last elected,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/dolan4ohio'})",https://ballotpedia.org/Matt_Dolan,U.S. Senate,Ohio
Mike Gibbons,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/MikeGibbonsOH'})",https://ballotpedia.org/Mike_Gibbons,U.S. Senate,Ohio
Jane Timken,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/JaneyMurph'})",https://ballotpedia.org/Jane_Timken,U.S. Senate,Ohio
Mark Pukita,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/mpukita'})",https://ballotpedia.org/Mark_Pukita,U.S. Senate,Ohio
Neil Patel,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Neil_Patel,U.S. Senate,Ohio
Sherrod Brown,Democratic,Last elected,2018.0,"defaultdict(<class 'str'>, {'Official Twitter': 'https://www.twitter.com/SenSherrodBrown'})",https://ballotpedia.org/Sherrod_Brown,U.S. Senate,Ohio
Jim Renacci,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/JimRenacci'})",https://ballotpedia.org/Jim_Renacci,U.S. Senate,Ohio
Melissa Ackison,Republican,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/melissaackison'})",https://ballotpedia.org/Melissa_Ackison,U.S. Senate,Ohio
Dan Kiley,Republican,Last election,2018.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Dan_Kiley,U.S. Senate,Ohio
Don Eckhart,Republican,Last election,2018.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Don_Elijah_Eckhart,U.S. Senate,Ohio
Richard Michael DeWine,Republican,Last elected,2022.0,"defaultdict(<class 'str'>, {'Official Twitter': 'https://www.twitter.com/GovMikeDeWine', 'Campaign Twitter': 'https://www.twitter.com/MikeDeWine'})",https://ballotpedia.org/Mike_DeWine,Governor,Ohio
Nan Whaley,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/nanwhaley'})",https://ballotpedia.org/Nan_Whaley,Governor,Ohio
Tim Grady,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/DarkHorse4Ohio'})",https://ballotpedia.org/Tim_Grady,Governor,Ohio
Marshall Usher,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Marshall_Usher,Governor,Ohio
Craig Patton,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Craig_Patton,Governor,Ohio
Renea Turner,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Renea_Turner,Governor,Ohio
John Cranley,unknown,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/JohnCranley'})",https://ballotpedia.org/John_Cranley,Governor,Ohio
Joe Blystone,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/JoeBlystone22'})",https://ballotpedia.org/Joe_Blystone,Governor,Ohio
Ron Hood,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Ron_Hood,Governor,Ohio
Jon Husted,Republican,Last elected,2022.0,"defaultdict(<class 'str'>, {'Official Twitter': 'https://www.twitter.com/LtGovHusted', 'Campaign Twitter': 'https://www.twitter.com/JonHusted'})",https://ballotpedia.org/Jon_Husted,Governor,Ohio
Cheryl Stephens,Democratic,Last elected,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/CherylForOhio'})",https://ballotpedia.org/Cheryl_Stephens,Governor,Ohio
Adina Pelletier,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Adina_Pelletier,Governor,Ohio
Collin Cook,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Collin_Cook,Governor,Ohio
